marca,modelo,marca_processador,nome_processador,geração_processador,ram_gb,tipo_ram,ssd,hdd,sistema_operacional,arquitetura_sistema,placa_grafica_gb,peso,tamanho_tela,garantia,tela_touch,microsoft_office,preco_atual,preco_antigo,desconto,classificacao,avaliacoes,comentarios,preco_atual_real,preco_antigo_real
DELL,Inspiron,AMD,Ryzen 5,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,44390,56573,21,4.0,276,24,2619.0099999999998,3337.807
HP,Pavilion,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,No,57990,70172,17,4.5,4740,532,3421.41,4140.148
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,56990,83890,32,4.5,162,15,3362.41,4949.509999999999
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,48990,68990,28,4.4,219,27,2890.41,4070.41
HP,Ryzen,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,49970,59808,16,4.5,193,28,2948.23,3528.672
MSI,Modern,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,0,No,No,47990,61990,22,4.6,562,89,2831.41,3657.41
HP,Ryzen,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,48990,60959,19,4.4,45,5,2890.41,3596.5809999999997
acer,Swift,AMD,Ryzen 5,Missing,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,53990,89999,40,4.9,7,0,3185.41,5309.941
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,52990,78290,32,4.2,39,5,3126.41,4619.11
acer,Aspire,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,43990,52999,16,0.0,0,0,2595.41,3126.941
Lenovo,Ideapad,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,59490,89490,33,4.5,92,10,3509.91,5279.91
MSI,Bravo,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,0,No,No,64990,83990,22,4.5,469,80,3834.41,4955.41
DELL,Vostro,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,47490,61740,23,2.5,2,1,2801.91,3642.66
